rt,coherence,decision,animal
360.0,256.0,1.0,0.0
371.0,256.0,1.0,0.0
902.0,32.0,0.0,0.0
350.0,512.0,1.0,0.0
598.0,64.0,1.0,0.0
799.0,32.0,1.0,0.0
549.0,256.0,1.0,0.0
310.0,512.0,1.0,0.0
1012.0,0.0,0.0,0.0
568.0,256.0,1.0,0.0
939.0,128.0,1.0,0.0
941.0,64.0,0.0,0.0
681.0,128.0,1.0,0.0
729.0,0.0,1.0,0.0
1004.0,32.0,0.0,0.0
831.0,128.0,1.0,0.0
293.0,512.0,1.0,0.0
326.0,512.0,1.0,0.0
838.0,32.0,0.0,0.0
334.0,256.0,1.0,0.0
879.0,0.0,0.0,0.0
537.0,256.0,1.0,0.0
1008.0,0.0,0.0,0.0
375.0,64.0,1.0,0.0
800.0,32.0,0.0,0.0
715.0,128.0,1.0,0.0
821.0,64.0,1.0,0.0
643.0,256.0,1.0,0.0
842.0,64.0,1.0,0.0
294.0,512.0,1.0,0.0
